,hospital_beds_per_thousand,date,location,cty_id
1587,1.2,2020-02-08,United Arab Emirates,7
1588,1.2,2020-02-09,United Arab Emirates,7
1589,1.2,2020-02-10,United Arab Emirates,7
1590,1.2,2020-02-11,United Arab Emirates,7
1591,1.2,2020-02-12,United Arab Emirates,7
1592,1.2,2020-02-13,United Arab Emirates,7
1593,1.2,2020-02-14,United Arab Emirates,7
1594,1.2,2020-02-15,United Arab Emirates,7
1595,1.2,2020-02-16,United Arab Emirates,7
1596,1.2,2020-02-17,United Arab Emirates,7
1597,1.2,2020-02-18,United Arab Emirates,7
1598,1.2,2020-02-19,United Arab Emirates,7
1599,1.2,2020-02-20,United Arab Emirates,7
1600,1.2,2020-02-21,United Arab Emirates,7
1601,1.2,2020-02-22,United Arab Emirates,7
1602,1.2,2020-02-23,United Arab Emirates,7
1603,1.2,2020-02-24,United Arab Emirates,7
1604,1.2,2020-02-25,United Arab Emirates,7
1605,1.2,2020-02-26,United Arab Emirates,7
1606,1.2,2020-02-27,United Arab Emirates,7
1607,1.2,2020-02-28,United Arab Emirates,7
1608,1.2,2020-02-29,United Arab Emirates,7
1609,1.2,2020-03-01,United Arab Emirates,7
1610,1.2,2020-03-02,United Arab Emirates,7
1611,1.2,2020-03-03,United Arab Emirates,7
1612,1.2,2020-03-04,United Arab Emirates,7
1613,1.2,2020-03-05,United Arab Emirates,7
1614,1.2,2020-03-06,United Arab Emirates,7
1615,1.2,2020-03-07,United Arab Emirates,7
1616,1.2,2020-03-08,United Arab Emirates,7
